,title,overview,genre_ids,id
34,The Unforgivable,"Released from prison into a society that won't forgive her past, a woman seeks redemption by searching for the sister she left behind.",[18],645886
35,Rocky IV,"After iron man Drago, a highly intimidating 6-foot-5, 261-pound Soviet athlete, kills Apollo Creed in an exhibition match, Rocky comes to the heart of Russia for 15 pile-driving boxing rounds of revenge.",[18],1374
36,Copshop,"On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station. However, when the hit man turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs.","[28, 53, 80]",738652
37,House of Gucci,"The true story of how Patrizia Reggiani plotted to kill her husband Maurizio Gucci, the grandson of renowned fashion designer Guccio Gucci.","[80, 18, 53]",644495
38,The Card Counter,"William Tell just wants to play cards. His spartan existence on the casino trail is shattered when he is approached by Cirk, a vulnerable and angry young man seeking help to execute his plan for revenge on a military colonel. Tell sees a chance at redemption through his relationship with Cirk. But keeping Cirk on the straight-and-narrow proves impossible, dragging Tell back into the darkness of his past.","[18, 53, 80]",643532
39,Monster Family 2,"To free Baba Yaga and Renfield from the clutches of Monster Hunter Mila Starr, the Wishbone Family once more transforms into a Vampire, Frankenstein's Monster, a Mummy and a Werewolf. Aided and abetted by their three pet bats, our Monster Family zooms around the world again to save their friends, make new monstrous acquaintances and finally come to the realization that ‘Nobody’s Perfect’ – even those with flaws can find happiness.","[16, 12, 10751, 14, 878]",851112
40,Till Death,"After a romantic evening at their secluded lake house, a woman wakes up handcuffed to her dead husband. Trapped and isolated in the dead of winter, she must fight off hired killers to escape her late spouse's twisted plan.","[27, 53]",672741
41,Eiffel,"The government is asking Eiffel to design something spectacular for the 1889 Paris World Fair, but Eiffel simply wants to design the subway. Suddenly, everything changes when Eiffel crosses paths with a mysterious woman from his past.","[18, 36]",655082
42,Iron Temple,"IFBB Pro Tony Torres built a lucrative lifestyle which came crashing down after covering for a friend who committed a murder. After being chased by the FBI he was sent to prison for five years. Once he did his time, Tony had to build back his life.",[99],885362
43,Spencer,"During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana decides to leave her marriage to Prince Charles.","[18, 36]",716612
44,The Dry,Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.,"[9648, 80, 18]",567797
45,King Richard,"Richard Williams serves as a coach to his daughters Venus and Serena, who will soon become two of the most legendary tennis players in history.",[18],614917
46,"Paris, 13th District","Émilie meets Camille who is attracted to Nora, who crosses paths with Amber. Three girls and a boy – They’re friends, sometimes lovers and often both.","[18, 10749]",746131
47,Annette,"The story of Henry, a stand-up comedian with a fierce sense of humour and Ann, a singer of international renown. In the spotlight, they are the perfect couple, healthy, happy, and glamourous. The birth of their first child, Annette, a mysterious girl with an exceptional destiny, will change their lives.","[18, 10749, 10402]",424277
48,The Power,"London, 1974. As Britain prepares for electrical blackouts to sweep across the country, trainee nurse Val arrives for her first day at the crumbling East London Royal Infirmary. With most of the patients and staff evacuated to another hospital, Val is forced to work the night shift, finding herself in a dark, near empty building. Within these walls lies a deadly secret, forcing Val to face both her own traumatic past and deepest fears.",[27],760919
49,Dear Evan Hansen,"Evan Hansen, a high schooler with social anxiety, unintentionally gets caught up in a lie after the family of a classmate who committed suicide mistakes one of Hansen’s letters for their son’s suicide note.",[18],567690
50,"Josee, the Tiger and the Fish","With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.","[16, 18, 10749]",652837
51,Song Express,"Franck just had the most crazy and wonderful idea for a company that would finally get him and his friends proper jobs. As Uber delivers food, Amazon daily items, Song Express will deliver songs. To your friends, or your loved one, or yourself, anywhere you want. It is brilliant, it is foolish, it could work… For Franck, Jean-Claude, Sophie and José, Song Express becomes something more than just a professional challenge: it is the dream of a lifetime.",[10402],844043
52,Experience Difference,Experience Difference is Egyptian Film,[],882038
53,I Am Santa Claus,"Ettore has spent the last five years in jail for a robbery. Once out of prison, he has nowhere to go, his wife broke up with him and doesn’t want him to meet their little daughter who was born right before he was arrested. Alone and desperate, Ettore roams the streets of Rome and meets a strange old man, Nicola. He decides to take advantage of him and rob him. But after breaking into his house, Ettore realizes Nicola doesn’t have anything worth to be stolen and furthermore, the old man tells him a rather stranger thing: he affirms to be Santa Claus…",[35],658287
54,Compartment No. 6,"As a train weaves its way up to the arctic circle, two strangers share a journey that will change their perspective on life.",[18],588182
55,Raging Fire,"Shan is a highly respected cop with a long history of success in dangerous cases, however, his past soon comes back to haunt him when his former protégé seeks revenge against all those who have wronged him.","[28, 80]",513692
56,The Pilot: A Battle for Survival,"December of 1941, Northwestern Front. A German tank column is moving towards Moscow. During a mission to stop the enemy advance, Nikolai Komlev's IL-2 is shot down. Komlev manages to crash-land his plane in a remote forest clearing. He's alive, but far from friendly territory. Ahead of him is a relentless trial of severe physical and mental endurance. After battling hunger and extreme cold, evading packs of wolves and detachments of Nazi soldiers, the wounded Komlev finally makes it back to safety. But there he faces another challenge, the most life-changing of them all.","[10752, 18, 36]",597859
57,Pleasure,20-year-old Bella Cherry leaves her small town in Sweden for Los Angeles with the aim to become the world's next big porn star but the road to her goal turns out to be bumpier than she imagined.,[18],592695
58,OSS 117: From Africa with Love,The third entry in secret agent OSS 117's parodic spy adventures.,"[12, 35, 28]",604563
59,The Piano Teacher,"Erika Kohut, a sexually repressed piano teacher living with her domineering mother, meets a young man who starts romantically pursuing her.","[18, 10749]",1791
60,Bergman Island,"An American filmmaking couple retreat to Fårö for the summer to each write screenplays for their upcoming films in an act of pilgrimage to the place that inspired Ingmar Bergman. As the summer and their screenplays advance, the lines between reality and fiction start to blur against the backdrop of the Island's wild landscape.","[18, 10749]",477044
61,Vicious Fun,A loser whose life is passing him by accidentally stumbles into a secret underground self-help group for serial killers. Stuck with only two options - kill or be killed - Joel must match wits with five killers and make it through the night alive.,"[35, 27]",728054
62,Bad Luck Banging or Loony Porn,"Emi, a school teacher, finds her career and reputation under threat after a personal sex tape is leaked on the Internet. Forced to meet the parents demanding her dismissal, Emi refuses to surrender to their pressure.","[35, 18]",790496
63,Ida Red,"Ida Red may not survive her 20-year prison sentence for armed robbery. She turns to her son, Wyatt, for one last job and a chance to regain her freedom.","[80, 53, 18, 28]",818192
64,30 Days Max,"Rayane is a scared and clumsy young cop who is constantly mocked by other cops. The day his doctor wrongly tells him that he has only thirty days to live, he understands that this is his last chance to become a hero within his police station and impress his colleague Stéphanie. The eternal fearful man then turns into a real hothead who will take all the risks to catch a big drug lord...","[35, 28, 80]",613377
65,Casablanca Beats,"A realistic drama set in the cultural center in Casablanca’s Sidi Moumen neighborhood, a poor suburb that became infamous in 2003 due to a terrorist attack perpetrated by locals.",[18],575764
66,The Power of the Dog,"A domineering, magnetic rancher responds with mocking cruelty when his brother brings home a new wife and her son, until the unexpected comes to pass.","[37, 18, 10749]",600583
67,Riverside Mukolitta,"A lonely young man moves in a 50-year-old apartment building. When he meets the cheerful residents, he finds himself surrounded by small happiness.",[10751],749927
68,Sri Asih,"A girl who grew up trying to find her identity amidst injustice surrounding her. As a reincarnation of The Goddes Dewi Asih, Sri Asih tries to bring balance in the society.",[],624091
69,Drift Away,The life of a young police officer in a small town in Normandy is thrown into turmoil when he accidentally kills a farmer threatening to commit suicide.,[18],661591
70,Love Is Love Is Love,"Three sto­ries that explore love, com­mit­ment, and loy­al­ty between cou­ples and friends. ""Two for Din­ner"" where a mar­ried cou­ple tem­porar­i­ly liv­ing in two dif­fer­ent loca­tions are more sep­a­rat­ed than they think. ""Sail­ing Les­son"" about a long-mar­ried cou­ple who spend a day on a sail­boat rekin­dling their romance… and unex­pect­ed events arise. ""Late Lunch"" where a young woman who recent­ly lost her moth­er gath­ers togeth­er a group of her moth­er’s friends to share mem­o­ries, with sur­pris­ing rev­e­la­tions.","[35, 10749]",680590
71,The Survivor,"Harry Haft is a boxer who fought fellow prisoners in the concentration camps to survive. Haunted by the memories and his guilt, he attempts to use high-profile fights against boxing legends like Rocky Marciano as a way to find his first love again.","[18, 36]",606870
72,Sooryavanshi,The action-packed adventures of an anti-terror Squad in India.,"[28, 18, 80]",592508
73,ARASHI Anniversary Tour 5×20 FILM “Record of Memories”,,[10402],842011
74,The Wolf and the Lion,"After her grandfather's death, 20-year-old Alma decides to go back to her childhood home - a little island in the heart of the majestic Canadian forest. Whilst there, she rescues two helpless cubs: a wolf and a lion. They forge an inseparable bond, but their world soon collapses as the forest ranger discovers the animals and takes them away. The two cub brothers must now embark on a treacherous journey across Canada to be reunited with one another and Alma once more.","[12, 10751]",780382
75,The Souvenir Part II,"In the aftermath of her tumultuous relationship with a charismatic and manipulative older man, Julie begins to untangle her fraught love for him in making her graduation film, sorting fact from his elaborately constructed fiction.",[18],473021
76,Julia,"Using never-before-seen archival footage, personal photos, first-person narratives, and cutting-edge, mouth-watering food cinematography, the film traces Julia Child's surprising path, from her struggles to create and publish the revolutionary Mastering the Art of French Cooking (1961) which has sold more than 2.5 million copies to date, to her empowering story of a woman who found fame in her 50s, and her calling as an unlikely television sensation.",[99],811933
77,Pingouin & Goéland et leurs 500 petits,,[99],877387
78,First Cow,"A taciturn loner and skilled cook has traveled west and joined a group of fur trappers in Oregon Territory, though he only finds true connection with a Chinese immigrant also seeking his fortune; soon the two collaborate on a successful business, although its longevity is reliant upon the clandestine participation of a nearby wealthy landowner’s prized milking cow.","[18, 37]",558582
79,Au mépris de nos différences,,[99],881714
80,Violet,"Violet realizes that her entire life is built on fear-based decisions, and must do everything differently to become her true self.",[18],665901
81,Dangerous,"A reformed sociopath heads to a remote island after the death of his brother. Soon after his arrival, the island falls under siege from a deadly gang of mercenaries, and when he discovers their role in his brother’s demise, he sets out on a relentless quest for vengeance.","[28, 53]",763788
82,Ekannoborti,"Banerjee family is reunited for their household Durga Pujo but as the festivities ensue, the once empty and silent Banerjee home is filled with festive chaos.","[10751, 18]",845857
83,In questa storia che è la mia,,[10402],889639
84,Careless Crime,"On a very ordinary day, four ordinary people decide to set fire to a cinema packed with people.",[18],644171
85,"Mark, Mary + Some Other People","Mark and Mary's meet-cute happens at a neighborhood drug store, where she is busy buying a pregnancy test, and he has to make an effort to remind her they met in college. After asking her out, he accompanies her as she takes the test, and upon it showing negative, she agrees to a date. One year later, they have fallen deeply, passionately, head over heels in love, and their whirlwind romance leads to marriage. So when Mary suddenly requests they open their relationship to “ethical non-monogamy”, Mark is taken by surprise, but agrees to try it. And that's where this story really begins.","[35, 18, 10749]",820923
86,Black Friday,A group of toy store employees must protect each other from a horde of parasite infected shoppers.,"[27, 35]",765869
87,Zanka Contact,"In hellish Casablanca, a car-crash sets ablaze a burning, passionate love story between has-been rocker Larsen and the streetwise amazon Rajae. An unspoken trauma is their common history; rock n' roll their mutual saviour. Larsen's snakeskin-covered guitar and Rajae's liquid gold voice could be heaven, if only everything from his drug-induced visions to her music-buff pimp didn't get in the way. The only hope for their blooming romance is to skip this ferocious town. Is there a way out of this crazy Moroccan underworld with its menagerie of sadistic cops, venomous snakes, metal concerts and shotgun-wielding modern-day Calamity Janes? For these punk Romeo and Juliet, maybe the answer lies in a song - the one they've been writing and dreaming together : Zanka Contact",[10749],728135
88,Belfast,"Buddy is a young boy on the cusp of adolescence, whose life is filled with familial love, childhood hijinks, and a blossoming romance. Yet, with his beloved hometown caught up in increasing turmoil, his family faces a momentous choice: hope the conflict will pass or leave everything they know behind for a new life.",[18],777270
89,Keyboard Fantasies: The Beverly Glenn-Copeland Story,"As a sci-fi obsessed woman living in near isolation, Beverly Glenn-Copeland wrote and self-released Keyboard Fantasies in Huntsville, Ontario back in 1986. Recorded in an Atari-powered home-studio, the cassette featured seven tracks of a curious folk-electronica hybrid, a sound realized far before its time. Three decades on, the musician – now Glenn Copeland – began to receive emails from people across the world, thanking him for the music they’d recently discovered.",[99],634586
90,Annaatthe,"Kaaliyan is a village president in the Madurai district, who is fondly called Annaatthe. His nieces compete with each other to marry him. But, he falls in love with another woman who visits their village. Kaaliyan has a sister who gets married and shifts to Kolkata where she faces some unknown threats. Soon, her brother comes to her aid.","[28, 10751, 18]",752961
91,Ammonite,"In 1840s England, palaeontologist Mary Anning and a young woman sent by her husband to convalesce by the sea develop an intense relationship. Despite the chasm between their social spheres and personalities, Mary and Charlotte discover they can each offer what the other has been searching for: the realisation that they are not alone. It is the beginning of a passionate and all-consuming love affair that will defy all social bounds and alter the course of both lives irrevocably.","[10749, 18]",568467
92,One Shot,"In an effort to prevent a terrorist attack on Washington D.C., an elite squad of Navy SEALs led by Lt. Blake Harris (Scott Adkins) and a junior CIA analyst Zoe Anderson (Ashley Greene) must retrieve a prisoner from a CIA black site island prison. Tensions flare as Deputy Site Manager Tom Shields (Ryan Phillippe) refuses to release the suspected terrorist based solely on Anderson's intel, but when the base comes under attack by waves of insurgents they must band together to complete the mission.",[28],811592
93,Made in Italy,A bohemian artist travels from London to Italy with his estranged son to sell the house they inherited from his late wife.,"[35, 18]",659991
94,The Beta Test,"An engaged Hollywood agent receives a mysterious letter for an anonymous sexual encounter and becomes ensnared in a sinister world of lying, infidelity, and digital data.","[35, 9648, 53]",749645
95,Lost Illusions,"Taking place between the years 1837 and 1843, Balzac’s classic novel focuses on the young poet Lucien de Rubempre, who leaves Angouleme for Paris in the pursuit of becoming an author.","[18, 36]",660000
96,The Garden of Evil,"This is a story of two environmentalists, UN Special Envoy and celebrated yachtsman Sir Peter Blake and eco warrior Pete Bethune. Both were brutally attacked in the same city in the Brazilian Amazon on separate expeditions 16 years apart. One was murdered and one lives to tell the tale.",[],860296
97,Enemy,,[28],798803
98,Hell Hath No Fury,"Branded a traitor by her countrymen, French national Marie DuJardin is rescued by American soldiers on one condition: to survive, she must lead them to a cache of gold - before the Nazis return to claim it for themselves.","[28, 10752]",877013
99,Yaya e Lennie - The Walking Liberty,"In the not-so-distant future, a series of environmental disasters has turned Naples into an impenetrable tropical forest. Yaya, donning her Corto Maltese cap, along with gigantic Lennie, go from adventure to adventure as they attempt to escape the grasp of the Institution. A sci-fi, ecological and post-apocalyptic adventure resembling a cross between Mad Max and Blues metropolitano.","[16, 878, 12]",636594
100,Stop-Zemlia,"Hanging out with friends, smoking a lot, spinning bottles and kissing, making mistakes, playing, refusing to accept, dreaming with open eyes - life as a teenager can be overwhelmingly beautiful and difficult at the same time. In her debut, the Ukrainian director composes a deeply emotional and multi-layered portrait of a generation whilst seamlessly flowing between the fictional and the documental.",[18],794785
101,Alles op Tafel,Seven friends meet up for dinner and decide to play a revealing game. During the evening deep personal secrets will surface and threaten their relationships.,"[35, 18]",777769
102,Dreams About Stray Cats,"“Do you know what I’ve always wanted to find out, brother? Where do you get your ideas for your drawings?” director David Sís asks his older brother Petr at the beginning of the film. He doesn’t get an answer right away, but perhaps it can be found in this documentary that, with great care, traces the highly successful career of a talented and multifaceted artist whose work crosses generational and geographic boundaries.","[99, 16]",846062
103,The Hidden Child,"Gabriele Santoro is a Professor of Pianoforte at the Music Conservatory San Pietro a Majella who lives in a working-class area of the city. One morning, while shaving his beard, the postman buzzes at the intercom to tell him he has a package. Gabriele opens the door and, before greeting him, runs to rinse his face. In that short space of time, a ten-year-old child slips into his apartment and hides away. “The maestro” – as he’s called in his neighbourhood – only notices the stowaway late at night. And when he sees him, he recognises the intruder as Ciro, a child who lives with his parents and siblings on the top floor of his building. When asked why he has fled his home, Ciro refuses to speak. Nevertheless, the maestro instinctively decides to hide him in his home, setting Ciro’s enemies a uniquely difficult challenge.",[18],743873
104,Blood Kin,,[18],873821
105,Une révision,,[18],863442
106,A Boy Called Christmas,"An ordinary young boy called Nikolas sets out on an extraordinary adventure into the snowy north in search of his father who is on a quest to discover the fabled village of the elves, Elfhelm. Taking with him a headstrong reindeer called Blitzen and a loyal pet mouse, Nikolas soon meets his destiny in this magical and endearing story that proves nothing is impossible…","[10751, 14]",615666
107,Seberg,An ambitious young FBI agent is assigned to investigate iconic actress Jean Seberg when she becomes embroiled in the tumultuous civil rights movement in late 1960s Los Angeles.,"[53, 18]",510298
108,Christmas vs. The Walters,"Diane Walters, an over-burdened mother of two with a third child on the way, strives to create the perfect Christmas while her loving but dysfunctional family falls apart around her.",[35],876987
109,"tick, tick...BOOM!","On the cusp of his 30th birthday, a promising young theater composer navigates love, friendship, and the pressures of life as an artist in New York City.","[18, 10402]",537116
110,Bad Education,"Two children, Ignacio and Enrique, know love, the movies and fear in a religious school at the beginning of the 1960s. Father Manolo, director of the school and its professor of literature, is witness to and part of these discoveries. The three are followed through the next few decades, their reunion marking life and death.","[80, 18, 10749, 53, 9648]",140
111,Hrana zlomu,,"[18, 53]",873819
112,Blue Bayou,"As a Korean-American man raised in the Louisiana bayou works hard to make a life for his family, he must confront the ghosts of his past as he discovers that he could be deported from the only country he has ever called home.",[18],644089
113,Fantasies,"Faced with their fantasies, six couples try to explore the hidden sides of their intimate life. Six questions on access to pleasure. From role play to abstinence, via exhibition, six separate stories with the same questioning of desire today in the center.","[35, 10749]",768127
114,Cabinets of Wonder,,"[99, 10751]",872723
115,Sompoi,"Sompoi, a Lamphun girl, who dreams of having a boyfriend as a young man in Bangkok, then one day, she've met a traveller youtuber named 'Van' , a woman like Sompoi can't wait any longer for him","[35, 10749]",889597
116,Whisper of the Dead,"Aldi and Emma are a newlywed couple, Aldi from Indonesia and Emma from Malaysia. After getting married, they wanted to go on a honeymoon to Ipoh, but Aldi had work in Kuala Lumpur for a few days, they also looked for lodging in Kuala Lumpur, but they got lost in a place they had never been to. They don't know that it turns out that the house is a haunted house, where the owner Sukri is a devil worshiper and his wife and children were killed in the house to become the devil's sacrifice. Emma is always terrorized by the spirits of Sukri's wife and children. And the climax is when Emma is possessed by the spirit of Sukri who turns out to also die as a victim of the devil.","[27, 18]",889580
117,Bull,Bull mysteriously returns home after a 10 year absence to seek revenge on those who double crossed him all those years ago.,"[53, 80]",821792
118,Time Is Up,"Vivien, an accomplished student with a passion for physics, and Roy, a troubled young man, are involved in an accident that forces them to reclaim their lives  one minute at the time.","[10749, 18]",763148
119,BELLE,"Suzu is a 17-year-old high school student living in a rural town with her father. Wounded by the loss of her mother at a young age, Suzu one day discovers the massive online world ""U"" and dives into this alternate reality as her avatar, Belle. Before long, all of U's eyes are fixed on Belle, when, suddenly, a mysterious dragon-like figure appears before her.","[16, 18, 878]",776305
120,Magyar Passió,,[18],886553
121,Lair,"A fractured family are forced to face their demons, metaphorically and literally, as they unwittingly become embroiled in a man's attempt to prove the existence of the supernatural in order to overturn a friend's murder conviction.",[27],799982
122,No Means No,"No Means No is a cross-genre action-packed, teenage musical love story, a courtroom drama that's more like the thrill of a roller-coaster ride as each twist and turn begins to unravel to reach a conclusion that calls out for justice.",[],825685
123,A Christmas Gift from Bob,"James Bowen finds himself the target of an animal welfare investigation that threatens to take away his beloved cat, Bob, at Christmas.","[10751, 18]",673737
124,Aileen Wuornos: American Boogeywoman,"Based on Aileen Wuornos’s early life, This Is The TRUE STORY of  America’s most notorious female serial killer, who went on a killing spree in Florida in 1989 and 1990. What few people know, is that back in 1976 a young and beautiful Aileen Wuornos arrived in Florida searching for a new life that would help her escape her tragic past, married a wealthy Yacht Club President and had the chance to start again as part of Florida’s high society….or did she?","[80, 27, 53]",806804
125,I am Zlatan,"Coming-of-age story depicting Zlatan Ibrahimovic's upbringing in a rough Swedish suburb. Born to Balkan immigrants, football was Zlatan's release in a tough environment where his remarkable talent and self-reliance catapulted him against all odds to the top of international football playing for clubs like Ajax Amsterdam, Juventus, Inter, Milan, Barcelona, Paris Saint-Germain and Manchester United.",[18],763109
126,Cryptozoo,"Cryptozookeepers try to capture a Baku, a dream-eating hybrid creature of legend, and start wondering if they should display these beasts or keep them hidden and unknown.","[16, 14]",776660
127,Lantern's Lane,"A recent college graduate and her estranged high school friends return to Lantern's Lane, the location of an evil urban legend and must fight to survive the night.",[27],879329
